,Max-Pooling,最大池化
,minimax game,最小最大博弈
,Momentum,动量
MLP,multi layered perceptron,多层感知器
,multi-document summarization,多文档摘要
,Multilayer Perceptron,多层感知机
MLP,Multilayer Perceptron,多层感知器
,multimodal learning,多模态学习
,multiple linear regression,多元线性回归
,Na?ve Bayesian classification,朴素贝叶斯分类器
,Naive Bayes Classifier,朴素贝叶斯分类器
,named entity recognition,命名实体识别
,Nash equilibrium,纳什均衡
NLG,natural language generation,自然语言生成
NLP,natural language processing,自然语言处理
NLL,Negative Log Likelihood,负对数似然
NMT,Neural Machine Translation,神经机器翻译
,neural networks,神经网络
NTM,Neural Turing Machine,神经图灵机
NCE,noise-contrastive estimation,噪音对比估计
,non-convex optimization,非凸优化
,non-negative matrix factorization,非负矩阵分解
,Non-Saturating Game,非饱和博弈
,objective function,目标函数
,Off-Policy,离策略
,one shot learning,一次性学习
,On-Policy,在策略
,output,输出
,overfitting,过拟合
,Parameter,参数
,parse tree,解析树
PSO,Particle Swarm Optimization,粒子群优化算法
,part-of-speech tagging,词性标注
,perceptron,感知器
PPGN,Plug and Play Generative Network,即插即用生成网络
,polarity detection,极性检测
,pooling,池化
,precision,查准率（预测结果是正样本的准确率）
PCA,principal component analysis,主成分分析
,Probability Graphical Model,概率图模型
QNN,Quantized Neural Network,量子化神经网络
,quantum computer,量子计算机
,Quantum Computing,量子计算
RBF,Radial Basis Function,径向基函数
,Random Forest Algorithm,随机森林算法
,recall,查全率（预测结果中正样本的数量占真实情况正样本的数量）
ReLU,Rectified Linear Unit,线性修正单元/线性修正函数
RNN,Recurrent Neural Network,循环神经网络
,recursive neural network,递归神经网络
,regression,回归
,reinforcement learning,强化学习
,representation,表征
,representation learning,表征学习
,Residual Mapping,残差映射
,Residual Network,残差网络
RBM,Restricted Boltzmann Machine,受限玻尔兹曼机
,Robot,机器人
,Robustness,稳健性
RE,Rule Engine,规则引擎
,saddle point,鞍点
,sample,一个采样
,sample space,样本空间
SOM,self organised map,自组织映射
,Self-Driving,自动驾驶
,semi-supervised learning,半监督学习
,sentiment analysis,情感分析
SLAM,simultaneous localization and mapping,同步定位与地图构建
SVD,Singular Value Decomposition,奇异值分解
,Spectral Clustering,谱聚类
,Speech Recognition,语音识别
SGD,stochastic gradient descent,随机梯度下降
,supervised learning,监督学习
SVM,Support Vector Machine,支持向量机
,Support Vector Machine（SVM）,支持向量机
,synset,同义词集
t-SNE,T-Distribution Stochastic Neighbour Embedding,T-分布随机近邻嵌入
,tensor,张量
TPU,Tensor Processing Units,张量处理单元
,testing,测试
,the least square method,最小二乘法
,Threshold,阙值
,Time Step,时间步骤
,tokenization,标记化
,training,学习，训练
,training error,训练误差（训练集上的误差）
,transfer learning,迁移学习
,treebank,树库
,Turing Machine,图灵机
,unsupervised learning,无监督学习
,Vanishing Gradient Problem,梯度消失问题
VC Theory,Vapnik–Chervonenkis theory,万普尼克-泽范兰杰斯理论
,von Neumann architecture,冯·诺伊曼架构/结构
WGAN,Wasserstein GAN,
W,weight,权重
,word embedding,词嵌入
WSD,word sense disambiguation,词义消歧
,zero-data learning,零数据学习
ZSL,zero-shot learning,零次学习
