capital,en,en_abbr,cn_zh
c,computational linguistics,,计算语言学
c,computation cost,,计算成本
c,comprehensibility,,可解释性
c,component learner,,组件学习器
c,complete graph,,完全图
c,competitive learning,,竞争型学习
c,committee-based learning,,基于委员会的学习
c,colt,,国际学习理论会议
c,collaborative filtering,,协同过滤
c,coding matrix,,编码矩阵
c,co-occurrence,,同现
c,co-adapting,,共适应
c,clustering ensemble,,聚类集成
c,clustering,,聚类
c,cluster analysis,,聚类分析
c,cluster,,簇/类/集群
c,closed-form,,闭式
c,clique potential,,团势能
c,clip gradient,,梯度截断
c,classifier,,分类器
c,classification and regression tree,CART,分类与回归树
c,class-imbalance,,分类不平衡
c,class-conditional probability,,类条件概率
c,chordal graph,,弦图
c,chain rule,,链式法则
c,central limit theorem,,中心极限定理
c,centered difference,,中心差分
c,causal modeling,,因果模型
c,causal factor,,因果因子
c,categorical distribution,,范畴分布、分类分布
c,categorical distribution,,范畴分布
c,categorical attribute,,分类属性
c,cascade-correlation,,级联相关
c,cascade,COALESCED,级联
c,canonical,,正则的
c,calibration,,校准
c,calculus of variations,,变分法
d,dynamic programming,,动态规划
d,dynamic fusion,,动态融合
d,dummy node,,哑结点
d,dual problem,,对偶问题
d,downsampling,,下采样
d,doubly block circulant matrix,,双重分块循环矩阵
d,double backprop,,双反向传播
d,dominant strategy,,占优策略
d,domain adaption,,领域自适应
d,diﬀerential equation,,微分方程
d,diﬀerential entropy,,微分熵
d,diversity measure,,多样性度量/差异性度量
d,divergence,,散度
d,distribution,,分布
d,distance metric learning,,距离度量学习
d,distance measure,,距离度量
d,discriminator network,,判别器网络
d,discriminator,,判别器
d,discriminative model,,判别模型
d,disagreement measure,,不合度量
d,dirichlet distribution,,狄利克雷分布
d,directional derivative,,方向导数
d,directed graphical model,,有向图模型
d,directed edge,,有向边
d,dimensionality reduction algorithm,,降维算法
d,differentiable neural computer,,可微分神经计算机
d,diagonal matrix,,对角矩阵
d,deterministic,,确定性
d,determinant,,行列式
d,detailed balance,,细致平衡
d,density-based clustering,,密度聚类
d,density estimation,,密度估计
d,denoising score matching,,去噪得分匹配
d,denoising autoencoder,,去噪自编码器
d,deep q-network,,深度 Q 网络
d,deep q-learning,,深度 Q 学习
d,deep neural network,DNN,深度神经网络
d,deep learning,,深度学习
d,deep generative model,,深度生成模型
d,deep convolutional generative adversarial network,DCGAN,深度卷积生成对抗网络
d,deep circuit,,深度回路
d,deep boltzmann machine,,深度玻尔兹曼机
d,deep belief network,,深度信念网络
d,deduction,,演绎
d,deconvolutional network,,解卷积网络
d,decision tree,,决策树/判定树
d,decision stump,,决策树桩
d,decision boundary,,决策边界
d,debugging strategy,,调试策略
d,dataset augmentation,,数据集增强
d,data wrangling,,数据整理
d,data set,,数据集
d,data parallelism,,数据并行
d,data mining,,数据挖掘
d,data generating distribution,,数据生成分布
d,d-separation,DIRECTED SEPARATION,有向分离
e,extreme learning machine,ELM,超限学习机
e,exponential loss function,,指数损失函数
e,exploration,,探索
e,exploitation,,利用
e,exploding gradient problem,,梯度爆炸问题
e,explaining away eﬀect,,相消解释作用
e,expert network,,专家网络
e,expected loss,,期望损失
e,expectation-maximization,EM,期望最大化
e,exact,,确切的
e,evolutionary computation,,演化计算
e,euclidean norm,,欧几里得范数
e,euclidean distance,,欧氏距离
e,error-ambiguity decomposition,,误差-分歧分解
e,error rate,,错误率
e,error correcting output codes,ECOC,纠错输出码
e,epochs,,轮数/周期
e,ensemble pruning,,集成修剪
e,ensemble learning,,集成学习
e,energy-based model,,基于能量的模型
e,end-to-end,,端到端
e,empirical risk,,经验风险
e,empirical error,,经验误差
e,empirical entropy,,经验熵
e,empirical conditional entropy,,经验条件熵
e,emotional analysis,,情绪分析
e,embedding,,嵌套
e,ellipsoid method,,椭球法
e,element-wise product,,元素对应乘积
e,eigenvector,,特征向量
e,eigenvalue decomposition,,特征值分解
e,eigenvalue,,特征值
e,eigendecomposition,,特征分解
e,edge device,,边缘设备
e,echo state network,,回声状态网络
f,functional neuron,,功能神经元
f,functional derivative,,泛函导数
f,full-rank matrix,,满秩矩阵
f,frequentist probability,,频率派概率
f,frequentist,,频率主义学派
f,fourier transform,,傅立叶变换
f,forward stagewise algorithm,,前向分步算法
f,forget gate,,遗忘门
f,folk theorem,,无名氏定理
f,fluctuation,,震荡
f,flipping output,,翻转法
f,fixed point equation,,不动点方程
f,finite difference,,有限差分
f,fine-tuning,,精调
f,field programmable gated array,,现场可编程门阵列
f,feedforward neural networks,FNN,前馈神经网络
f,featured learning,,特征学习
f,feature vector,,特征向量
f,feature selection,,特征选择
f,feature map,,特征图
f,feature extractor,,特征提取器
f,feature engineering,,特征工程
f,fault-tolerant asynchronous training,,容错异步训练
f,false positive rate,FPR,假正例率
f,false positive,,假正例
f,false negative,,假负例
f,factors of variation,,变差因素
f,factorization,,因子分解
f,factor analysis,,因子分析
g,ground-truth,,真相/真实
g,grid search,,网格搜索
g,graph theory,,图论
g,gradient energy distribution,,梯度能量分布
g,gradient descent,,梯度下降
g,gradient boosting tree,,梯度提升树
g,global optimization,,全局优化
g,global minimum,,全局最小
g,global contrast normalization,,全局对比度归一化
g,gini index,,基尼指数
g,gibbs sampling,,吉布斯采样
g,giant magnetoresistance,,巨磁阻
g,genetic algorithm,GA,遗传算法
g,generator,,生成器
g,generative moment matching network,,生成矩匹配网络
g,generative model,,生成模型
g,generative adversarial networks,GAN,生成对抗网络
g,generalized score matching,,广义得分匹配
g,generalized rayleigh quotient,,广义瑞利商
g,generalized pseudolikelihood,,广义伪似然
g,generalized linear model,,广义线性模型
g,generalized lagrange function,,广义拉格朗日函数
g,generalization error bound,,泛化误差上界
g,generalization error,,泛化误差
g,generalization,,泛化
g,general problem solving,,通用问题求解
g,gaussian process,,高斯过程
g,gaussian mixture model,,高斯混合模型
g,gaussian kernel function,,高斯核函数
g,gated recurrent net,GRN,门控循环网络
g,game theory,,博弈论
g,game payoff,,博弈效用
g,gain ratio,,增益率
h,hypothesis test,,假设检验
h,hypothesis,,假设
h,hyperparameter,,超参数
h,hybrid computing,,混合计算
h,homogeneous,,同质
h,hold-out,,留出法
h,hinge loss function,,合页损失函数
h,hilbert space,,希尔伯特空间
h,hierarchical clustering,,层次聚类
h,hidden markov model,HMM,隐马尔可夫模型
h,hidden layer,,隐藏层
h,hidden dynamic model,,隐动态模型
h,heterogeneous information network,HIN,异质信息网络
h,hesse matrix,,海赛矩阵
h,harmonic mean,,调和平均
h,hard voting,,硬投票
h,hard  margin,,硬间隔
i,iterative dichotomiser,,迭代二分器
i,isotonic regression,,等分回归
i,isometric mapping,ISOMAP,等度量映射
i,invert,,求逆
i,invariance,,不变性
i,intrinsic value,,固有值
i,intra-cluster similarity,,簇内相似度
i,international conference for machine learning,ICML,国际机器学习大会
i,inter-cluster similarity,,簇间相似度
i,instance segmentation,,实例分割
i,insensitive loss,,不敏感损失
i,input layer,,输入层
i,information gain,,信息增益
i,information entropy,,信息熵
i,inference,,推断
i,inequality constraint,,不等式约束
i,inductive logic programming,ILP,归纳逻辑程序设计
i,inductive learning,,归纳学习
i,inductive bias,,归纳偏好
i,induction,,归纳
i,individual learner,,个体学习器
i,indicator function,,指示函数
i,independent subspace analysis,,独立子空间分析
i,independent component analysis,ICA,独立成分分析
i,independent and identically distributed,I.I.D.,独立同分布
i,incremental learning,,增量学习
i,improved iterative scaling,IIS,改进的迭代尺度法
i,imperfect information,,不完美信息
i,image restoration,,图像复原
i,identity matrix,,单位矩阵
i,icml,,国际机器学习会议
j,jensen-shannon divergence,JSD,JS 散度
k,knowledge representation,,知识表征
k,knowledge graph,,知识图谱
k,knowledge engineering,,知识工程
k,knowledge base,,知识库
k,kernelized linear discriminant analysis,KLDA,核线性判别分析
k,kernel trick,,核技巧
k,kernel method,,核方法
k,k-nearest neighbours algorithm,KNN,K近邻算法
k,k-means clustering,,K - 均值聚类
k,k-fold cross validation,,k 折交叉验证/k 倍交叉验证
l,low rank matrix approximation,,低秩矩阵近似
l,loss function,,损失函数
l,loopy belief propagation,,环状信念传播
l,long-term dependency,,长期依赖
l,long-short term memory,LSTM,长短期记忆
l,logistic regression,,Logistic 回归
l,log-linear regression,,对数线性回归
l,log-likelihood,,对数似然
l,log odds,LOGIT,对数几率
l,log likelihood,,对数似然
l,local minimum,,局部最小
l,local markov property,,局部马尔可夫性
l,local invariances,,局部不变性
l,local curvature,,局部曲率
l,local contrast normalization,,局部对比度归一化
l,local conditional probability distribution,,局部条件概率分布
l,link function,,联系函数
l,linear threshold units,,线性阀值单元
l,linear regression,,线性回归
l,linear model,,线性模型
l,linear discriminant analysis,LDA,线性判别
l,leibniz’s rule,,莱布尼兹法则
l,left eigenvector,,左特征向量
l,lebesgue-integrable,,勒贝格可积
l,leave-one-out,LOO,留一法
l,least squares regression tree,,最小二乘回归树
l,learning vector quantization,LVQ,学习向量量化
l,learning rate,,学习速率
l,learning by analogy,,类比学习
l,learner,,学习器
l,leaky relu,,渗漏整流线性单元
l,lazy learning,,懒惰学习
l,layer-wise adaptive rate scaling,LARS,层级对应的适应率缩放
l,law of large number,,大数定理
l,latent variable,,隐变量
l,latent semantic analysis,,潜在语义分析
l,latent dirichlet allocation,LDA,隐狄利克雷分布
l,laplacian correction,,拉普拉斯修正
l,laplace smoothing,,拉普拉斯平滑
l,lagrange multiplier,,拉格朗日乘子
l,lagrange duality,,拉格朗日对偶性
l,label space,,标记空间
m,mutual information,,互信息
m,multivariate normal distribution,,多维正态分布
m,multiple linear regression,,多元线性回归
m,multiple dimensional scaling,,多维缩放
m,multinomial distribution,,多项分布
m,multimodal learning,,多模态学习
m,multilayer perceptron,MLP,多层感知器
m,multi-response linear regression,MLR,多响应线性回归
m,multi-layer feedforward neural networks,,多层前馈神经网络
m,multi-kernel learning,,多核学习
m,multi-document summarization,,多文档摘要
m,multi-class classification,,多类别分类
m,moral graph,,道德图/端正图
m,moore's law,,摩尔定律
m,monte carlo estimate,,蒙特卡洛估计
m,momentum,,动量
m,moment matching,,矩匹配
m,model predictive control (mpc),,模型预测控制
m,mixture of experts,,混合专家
m,mixture density network,,混合密度网络
m,misclassification cost,,误分类成本
m,minimax game,,极小极大博弈
m,minimal  description length,MDL,最小描述长度
m,mini-batch sgd,,小批次随机梯度下降
m,micro-r,,微查全率
m,micro-p,,微查准率
m,metric learning,,度量学习
m,meta-learner,,元学习器
m,measure theory,,测度论
m,mean-covariance restricted boltzmann machine,,均值-协方差受限玻尔兹曼机
m,mean squared error,,均方误差
m,mean product of student t-distribution,,学生 t 分布均值乘积
m,maximum weighted spanning tree,,最大带权生成树
m,maximum margin,,最大间隔
m,maximum likelihood estimation,MLE,极大似然估计/极大似然法
m,maximum a posteriori,,最大后验
m,maximal clique,,最大团
m,max-pooling,,最大池化
m,matrix inversion,,逆矩阵
m,markov random field,,马尔可夫随机场
m,markov chain monte carlo,MCMC,马尔可夫链蒙特卡罗方法
m,markov chain,,马尔可夫链
m,marginalization,,边际化
m,marginal probability distribution,,边缘概率分布
m,marginal independence,,边缘独立性
m,marginal distribution,,边缘分布
m,margin theory,,间隔理论
m,manifold tangent classiﬁer,,流形正切分类器
m,manifold learning,,流形学习
m,manifold assumption,,流形假设
m,majority voting,,绝对多数投票法
m,main diagonal,,主对角线
m,macron-r,,宏查全率
m,macron-p,,宏查准率
m,machine translation,MT,机器翻译
n,numerical optimization,,数值优化
n,numerical attribute,,数值属性
n,nuclear norm,,核范数
n,normalization,,归一化
n,norm,,范数
n,nonlinear model,,非线性模型
n,non-saturating game,,非饱和博弈
n,non-ordinal attribute,,无序属性
n,non-negative matrix factorization,,非负矩阵分解
n,non-metric distance,,非度量距离
n,non-linear oscillation,,非线性振荡
n,non-convex optimization,,非凸优化
n,nominal attribute,,列名属性
n,noise-contrastive estimation,,噪音对比估计
n,no free lunch theorem,NFL,没有免费的午餐定理
n,newton method,,牛顿法
n,neuromorphic computing,,神经形态计算
n,neural turing machine,,神经图灵机
n,neural machine translation,,神经机器翻译
n,neighbourhood component analysis,NCA,近邻成分分析
n,negative semideﬁnite,,半负定
n,negative log likelihood,,负对数似然
n,negative deﬁnite,,负定
n,negative correlation,,负相关法
n,negative class,,负类
n,nearest-neighbor search,,最近邻搜索
n,natural language processing,,自然语言处理
n,natural language generation,NLG,自然语言生成
n,nash reversion,,纳什回归
n,nash equilibrium,,纳什均衡
n,named entity recognition,,命名实体识别
n,naive bayes classifier,,朴素贝叶斯分类器
n,naive bayes,,朴素贝叶斯
o,oversampling,,过采样
o,overfitting,,过拟合/过配
o,overcomplete,,过完备
o,output smearing,,输出调制法
o,output layer,,输出层
o,outlier,,异常值/离群值
o,out-of-bag estimate,,包外估计
o,orthonormal,,标准正交
o,orthogonal matrix,,正交矩阵
o,ordinal attribute,,有序属性
o,online inference,,在线推断
o,one-dependent estimator,ODE,独依赖估计
o,one shot learning,,一次性学习
o,on-policy,,在策略
o,offset vector,,偏移向量
o,offline inference,,离线推断
o,off-policy,,离策略
o,odds,,几率
o,occam's razor,,奥卡姆剃刀
o,oblique decision tree,,斜决策树
o,objective function,,目标函数
p,pseudo-label,,伪标记
p,pruning,,剪枝
p,proximal gradient descent,PGD,近端梯度下降
p,probability graphical model,,概率图模型
p,prior knowledge,,先验知识
p,principle of multiple explanations,,多释原则
p,principal component analysis,PCA,主成分分析
p,prepruning,,预剪枝
p,precision,,查准率/精确率
p,power method,,幂方法
p,potential function,,势函数
p,posterior probability,,后验概率
p,posterior inference,,后验推断
p,post-pruning,,后剪枝
p,post-hoc test,,后续检验
p,positive definite matrix,,正定矩阵
p,positive class,,正类
p,pooling,,池化
p,polynomial kernel function,,多项式核函数
p,polynomial basis function,,多项式基函数
p,polarity detection,,极性检测
p,plurality voting,,相对多数投票法
p,plug and play generative network,,即插即用生成网络
p,pictorial structure,,图形结构
p,perplexity,,困惑度
p,permutation invariant,,置换不变性
p,performance measure,,性能度量
p,perceptron,,感知机
p,particle swarm optimization,PSO,粒子群优化算法
p,partial derivative,,偏导数
p,part-of-speech tagging,,词性标注
p,parse tree,,解析树
p,parameter tuning,,调参
p,parameter server,,参数服务器
p,parameter estimation,,参数估计
p,parameter,,参数
p,parallel tempering,,并行回火
p,pairwise markov property,,成对马尔可夫性
p,pairwise,,成对型
p,paired t-test,,成对 t 检验
q,quasi-concave,,拟凹
q,quasi newton method,,拟牛顿法
q,quantum machine learning,,量子机器学习
q,quantum computing,,量子计算
q,quantum computer,,量子计算机
q,quantized neural network,QNN,量子化神经网络
q,quadratic programming,,二次规划
r,rule learning,,规则学习
r,rule engine,,规则引擎
r,root node,,根结点
r,robustness,,稳健性/鲁棒性
r,ridge regression,,岭回归
r,reverse mode accumulation,,反向模式累加
r,restricted isometry property,RIP,限定等距性
r,restricted boltzmann machine,RBM,受限玻尔兹曼机
r,residual network,,残差网络
r,residual mapping,,残差映射
r,residual blocks,,残差块
r,reservoir computing,,储层计算
r,rescaling,,再缩放
r,reproducing kernel hilbert space,RKHS,再生核希尔伯特空间
r,representer theorem,,表示定理
r,representation learning,,表征学习
r,reparametrization,,重参数化
r,relative entropy,,相对熵
r,reinforcement learning,RL,强化学习
r,regularizer,,正则化项
r,regularization,,正则化
r,regression,,回归
r,reference model,,参考模型
r,recursive neural network,,递归神经网络
r,recurrent neural network,,循环神经网络
r,rectified linear unit,RELU,线性修正单元
r,receiver operating characteristic,ROC,受试者工作特征
r,recall,,召回率/查全率
r,re-weighting,,重赋权法
r,re-sampling,,重采样法
r,random walk,,随机漫步
r,random forest algorithm,,随机森林算法
r,radial basis function,RBF,径向基函数
s,synthetic feature,,合成特征
s,synset,,同义词集
s,symbolism,,符号主义
s,symbolic learning,,符号学习
s,surrogate function,,替代函数
s,surrogat loss,,替代损失
s,support vector machine,SVM,支持向量机
s,support vector expansion,,支持向量展式
s,supervised learning,,监督学习/有导师学习
s,subspace,,子空间
s,subsampling,,下采样
s,structured variational inference,,结构化变分推断
s,structural risk minimization,SRM,结构风险最小化
s,structural  risk,,结构风险
s,stratified sampling,,分层采样
s,stochastic neighbor embedding,,随机近邻嵌入
s,stochastic maximum likelihood,,随机最大似然
s,stochastic matrix,,随机矩阵
s,stochastic gradient descent,,随机梯度下降
s,status feature function,,状态特征函数
s,statistical learning,,统计学习
s,stationary point,,驻点
s,stationary distribution,,稳态分布
s,static game,,静态博弈
s,standard deviation,,标准差
s,stacked deconvolutional network,SDN,堆叠解卷积网络
s,stability-plasticity dilemma,,可塑性-稳定性困境
s,squashing function,,挤压函数
s,splitting variable,,切分变量
s,spiking neural nets,,脉冲神经网络
s,speech recognition,,语音识别
s,spectral radius,,谱半径
s,spectral clustering,,谱聚类
s,specialization,,特化
s,sparsity,,稀疏性
s,sparse representation,,稀疏表征
s,sparse initialization,,稀疏初始化
s,sparse connectivity,,稀疏连接
s,sparse coding,,稀疏编码
s,sparse activation,,稀疏激活
s,soft voting,,软投票
s,soft margin maximization,,软间隔最大化
s,soft margin,,软间隔
s,smoothness prior,,平滑先验
s,smoothing,,平滑
s,slowness principle,,慢性原则
s,slack variables,,松弛变量
s,singular value decomposition,,奇异值分解
s,singular value,,奇异值
s,simultaneous localization and mapping,SLAM,同步定位与地图构建
s,simulated annealing,,模拟退火
s,similarity measure,,相似度度量
s,sigmoid function,,Sigmoid 函数/S 型函数
s,siamese network,,孪生网络
s,shift invariance,,平移不变性
s,shannon entropy,,香农熵
s,separating hyperplane,,分离超平面
s,sentiment analysis,,情感分析
s,semi-supervised support vector machine,,半监督支持向量机
s,semi-supervised learning,,半监督学习
s,semi-restricted boltzmann machine,,半受限波尔兹曼机
s,semi-naive bayes classifiers,,半朴素贝叶斯分类器
s,semi-definite programming,,半正定规划
s,semantic similarity,,语义相似度
s,semantic segmentation,,语义分割
s,semantic hashing,,语义哈希
s,self-organizing map,SOM,自组织映射
s,self-driving,,自动驾驶
s,self-contrastive estimation,,自对比估计
s,second-order method,,二阶方法
s,second derivative,,二阶导数
s,score function,,评分函数
s,sampling,,采样
s,sample space,,样本空间
s,saliency map,,显著图
s,saddle-free newton method,,无鞍牛顿法
s,saddle point,,鞍点
t,two-dimensional array,,二维数组
t,twice-learning,,二次学习
t,turing machine,,图灵机
t,true positive rate,TPR,真正例率
t,true positive,,真正例
t,true negative,,真负例
t,trigram,,三元语法
t,triangulate,,三角形化
t,trial-by-error,,试错法
t,treebank,,树库
t,transfer learning,,迁移学习/转移学习
t,transductive learning,,直推学习
t,training instance,,训练实例
t,training error,,训练误差
t,tractable,,易处理的
t,tokenization,,标记化/分词
t,time step,,时间步骤
t,time step,,时间步
t,time delay neural network,,时延神经网络
t,tiled convolution,,平铺卷积
t,threshold-moving,,阈值移动
t,threshold logic unit,,阈值逻辑单元
t,threshold,,阈值
t,the least square method,,最小二乘法
t,tensor processing units,TPU,张量处理单元
t,tensor,,张量
t,tempered transition,,回火转移
t,tangent prop,,正切传播
t,tangent plane,,切平面
t,t-distribution stochastic neighbour embedding,T-SNE,T分布随机近邻嵌入
u,upsampling,,上采样
u,upper confidence bounds,,上置信界限
u,unsupervised  learning,,无监督学习/无导师学习
u,unsupervised layer-wise training,,无监督逐层训练
u,unsupervised  learning,,无监督学习/无导师学习
u,unshared convolution,,非共享卷积
u,unprojection,,反投影
u,univariate decision tree,,单变量决策树
u,unitary matrix,,酉矩阵
u,unit-step function,,单位阶跃函数
u,unit variance,,单位方差
u,unit test,,单元测试
u,unit norm,,单位范数
u,unequal cost,,非均等代价
u,undirected graphical model,,无向图模型
u,understandability,,可理解性
u,undersampling,,欠采样
u,underfitting,,欠拟合/欠配
u,underestimation,,欠估计
v,von neumann architecture,,冯 · 诺伊曼架构
v,viterbi algorithm,,维特比算法
v,virtual adversarial example,,虚拟对抗样本
v,version space,,版本空间
v,vc theory,,VC维理论
v,variational inference,,变分推断
v,variational free energy,,变分自由能
v,variational derivative,,变分导数
v,vanishing gradient problem,,梯度消失问题
w,word sense disambiguation,,词义消歧
w,word embedding,,词嵌入
w,within-class scatter matrix,,类内散度矩阵
w,weighted voting,,加权投票法
w,weight sharing,,权共享
w,weight decaying,,权值衰减
w,weight,,权重
w,weak learner,,弱学习器
w,wasserstein gan,WGAN,Wasserstein生成对抗网络
z,zero-shot learning,,零次学习
z,zero-data learning,,零数据学习
z,zero mean,,零均值
